bar,address
Szechuan House,"320 E Burlington St, Iowa City, Iowa"
Hawkeye Liquor & Tobacco,"601 Hollywood Blvd Suite 1, Iowa City, Iowa"
Celebration Farm,"4696 Robin Woods Lane NE, Iowa City, Iowa"
Celebration Farm,"4696 Robin Woods Lane NE, Iowa City, Iowa"
Bev the Barbarian,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
Loyal Order of Moose Lodge Number 1096,"3151 HWY 6 E, Iowa City, Iowa"
"Quadro Group, LLC","122 S Linn Street, Iowa City, Iowa"
"Quadro Group, LLC","122 S Linn Street, Iowa City, Iowa"
Bread Garden Market and Bakery,"225 South Linn Street, Iowa City, Iowa"
T.C.B.,"114 East College Street, Iowa City, Iowa"
T.C.B.,"114 East College Street, Iowa City, Iowa"
T.C.B.,"114 East College Street, Iowa City, Iowa"
Oryza Asian Cuisine,"5 Sturgis Corner Dr #1000, Iowa City, Iowa"
"Jingle Cross Rock, Inc","4275 Oak Crest Hill Rd SE, Iowa City, Iowa"
Sundown Bar and Grill,"4696 Robin Woods Lane NE, Iowa City, Iowa"
FilmScene,"404 East College Street Suite 100, Iowa City, Iowa"
FilmScene,"404 East College Street Suite 100, Iowa City, Iowa"
Bread Garden Market and Bakery,"225 South Linn Street, Iowa City, Iowa"
New Pioneer Food Co-op,"22 S. Van Buren St, Iowa City, Iowa"
JOBSITE,"928 Maiden Ln, Iowa City, Iowa"
Formosa,"221 East College Streeet, Iowa City, Iowa"
New Pioneer Food Co-op,"22 S. Van Buren St, Iowa City, Iowa"
New Pioneer Food Co-op,"22 S. Van Buren St, Iowa City, Iowa"
New Pioneer Food Co-op,"22 S. Van Buren St, Iowa City, Iowa"
New Pioneer Food Co-op,"22 S. Van Buren St, Iowa City, Iowa"
Dearing/Roseland Wedding,"4696 Robin Woods Lane NE, Iowa City, Iowa"
Cactus Mexican Grill,"245 S Gilbert ST, Iowa City, Iowa"
Cactus Mexican Grill,"245 S Gilbert ST, Iowa City, Iowa"
The Iowa Chop House,"223 Washington Street, Iowa City, Iowa"
Billy's High Hat Diner,"630 Iowa Ave, Iowa City, Iowa"
Billy's High Hat Diner,"630 Iowa Ave, Iowa City, Iowa"
Billy's High Hat Diner,"630 Iowa Ave, Iowa City, Iowa"
Diltz Wedding,"4696 Robin Woods Lane NE, Iowa City, Iowa"
Nelson/Wheeler Wedding,"4696 Robin Woods Lane NE, Iowa City, Iowa"
Lytle wedding,"4696 Robins Woods Lane, Iowa City, Iowa"
Blake Fish Wedding,"4696 Robin Woods Ln NE, Iowa City, Iowa"
Rapid Creek Cidery,"4823 Dingleberry Road NE, Iowa City, Iowa"
Rapid Creek Cidery,"4823 Dingleberry Road NE, Iowa City, Iowa"
Los Agaves Mexican Grill,"2208 N Dodge st, Iowa City, Iowa"
Los Agaves Mexican Grill,"2208 N Dodge st, Iowa City, Iowa"
The Iowa Chop House,"223 East Washington, Iowa City, Iowa"
Kum & Go #53,"955 Mormon Trek Blvd, Iowa City, Iowa"
Kum & Go #53,"955 Mormon Trek Blvd, Iowa City, Iowa"
Los Agaves Mexican Grill,"2208 N Dodge st, Iowa City, Iowa"
BlackStone,"503 Westbury Dr. Suite 1, Iowa City, Iowa"
Kum & Go #422,"731 South Riverside Drive, Iowa City, Iowa"
Kum & Go #422,"731 South Riverside Drive, Iowa City, Iowa"
Hy-Vee Market Cafe,"1720 Waterfront Dr. Cafe Area, Iowa City, Iowa"
Oaknoll Retirement Residence,"1 Oaknoll Court, Iowa City, Iowa"
Oaknoll Retirement Residence,"1 Oaknoll Court, Iowa City, Iowa"
Liquor Downtown,"315 S Gilbert St, Iowa City, Iowa"
Quinton's Bar and Deli,"215 E. Washington St, Iowa City, Iowa"
Quinton's Bar and Deli,"215 E. Washington St, Iowa City, Iowa"
Quinton's Bar and Deli,"215 E. Washington St, Iowa City, Iowa"
Joe's Place,"115 Iowa Ave, Iowa City, Iowa"
Joe's Place,"115 Iowa Ave, Iowa City, Iowa"
Joe's Place,"115 Iowa Ave, Iowa City, Iowa"
Hilton Garden Inn,"328 S. Clinton Street, Iowa City, Iowa"
Kum & Go # 3502,"2303 Muscatine Ave, Iowa City, Iowa"
Kum & Go # 3502,"2303 Muscatine Ave, Iowa City, Iowa"
Kum & Go # 3502,"2303 Muscatine Ave, Iowa City, Iowa"
Riverside Theatre,"Lower City Park, Iowa City, Iowa"
Short's Burger and Shine,"18 S Clinton, Iowa City, Iowa"
"ruzicka meat processing, inc.","4696 robin woods lane n.e., Iowa City, Iowa"
Short's Burger and Shine,"18 S Clinton, Iowa City, Iowa"
Short's Burger and Shine,"18 S Clinton, Iowa City, Iowa"
Iowa City Fast Break,"2580 Naples Avenue, Iowa City, Iowa"
Iowa City Fast Break,"2580 Naples Avenue, Iowa City, Iowa"
Carl and Ernies,"161 Highway 1 West, Iowa City, Iowa"
"The Englert Civic Theatre, Inc","221 East Washington Street, Iowa City, Iowa"
DC's,"124 S Dubuque, Iowa City, Iowa"
Forbidden Planet,"111 S Dubuque St, Iowa City, Iowa"
Bev The Barbarian LLP,"4696 Robin Woods Ln NE, Iowa City, Iowa"
Hy-Vee Market Cafe,"1125 N Dodge Street Cafe Area, Iowa City, Iowa"
Hy-Vee Market Cafe,"812 S 1st Ave Cafe Area, Iowa City, Iowa"
Pop's BBQ,"130 N. Dubuque Str, Iowa City, Iowa"
Pop's BBQ,"130 N. Dubuque St, Iowa City, Iowa"
Hy-Vee Market Cafe,"1720 Waterfront Dr. Cafe Area, Iowa City, Iowa"
BlackStone,"503 Westbury Drive, Iowa City, Iowa"
North Dodge Express,"2790 N Dodge St, Iowa City, Iowa"
North Dodge Express,"2790 N Dodge St, Iowa City, Iowa"
Okoboji Wines (South Portion of Bldg),"3570 Dolphin Ct Unit A, Iowa City, Iowa"
Brix,"209 N. Linn St., Iowa City, Iowa"
Brix,"209 N. Linn St., Iowa City, Iowa"
Brix,"209 N. Linn St., Iowa City, Iowa"
Hy-Vee Gas #1,"260 Stevens Dr, Iowa City, Iowa"
Hy-Vee Gas #1,"260 Stevens Dr, Iowa City, Iowa"
North Dodge Express,"2790 N Dodge St, Iowa City, Iowa"
Brix,"209 N. Linn St., Iowa City, Iowa"
Hy-Vee Gas #1,"260 Stevens Dr, Iowa City, Iowa"
"Fraternal Order Of Eagles, Iowa City Aerie #695","225 Hwy 1 W, Iowa City, Iowa"
Bardot Iowa,"347 South Gilbert Street, Iowa City, Iowa"
BeerBurger,"180 E Burlington Street, Iowa City, Iowa"
Cortado,"26 S Clinton St, Iowa City, Iowa"
Cortado,"26 S Clinton St, Iowa City, Iowa"
Shakespeare's,"819 1st Ave S, Iowa City, Iowa"
Shakespeare's,"819 1st Ave S, Iowa City, Iowa"
Shakespeare's,"819 1st Ave S, Iowa City, Iowa"
"Fareway Stores, Inc. #034","2765 Commerce Drive, Iowa City, Iowa"
"Fareway Stores, Inc. #034","2765 Commerce Drive, Iowa City, Iowa"
University of Iowa,"All Designated Bldgs, Iowa City, Iowa"
University of Iowa,"All Designated Bldgs, Iowa City, Iowa"
University of Iowa,"All Designated Bldgs, Iowa City, Iowa"
Sundown Bar and Grill,"4696 Robin Woods Lane NE, Iowa City, Iowa"
City of Iowa City,"Intersection of S Clinton and Iowa St, Iowa City, Iowa"
FRIDAY NIGHT MAIN EVENT LLC,"4275 Oak Crest Hill Rd SE (Rodeo arena) Johnson Co Fairgrounds, Iowa City, Iowa"
Yummy Restaurant,"119 E Washington Street, Iowa City, Iowa"
RJ'Z Express,"2 Escort Lane, Iowa City, Iowa"
"Hilltop Lounge, The","1100 North Dodge Street, Iowa City, Iowa"
"Hilltop Lounge, The","1100 North Dodge Street, Iowa City, Iowa"
"Hilltop Lounge, The","1100 North Dodge Street, Iowa City, Iowa"
B. P. O. Elks #590,"637 Foster Road, Iowa City, Iowa"
Sports Column,"12 S. Dubuque Street, Iowa City, Iowa"
Sanctuary,"405 S Gilbert Street, Iowa City, Iowa"
"Ruzicka Meat Processing, Inc.","26 East Market St., Iowa City, Iowa"
B. P. O. Elks #590,"637 Foster Road, Iowa City, Iowa"
B. P. O. Elks #590,"637 Foster Road, Iowa City, Iowa"
B. P. O. Elks #590,"637 Foster Road, Iowa City, Iowa"
"Fareway Stores, Inc. #950","2530 Westwinds Drive, Iowa City, Iowa"
"Fareway Stores, Inc. #950","2530 Westwinds Drive, Iowa City, Iowa"
Oaknoll East,"2640 N Scott Blvd., Iowa City, Iowa"
High Ground Cafe,"301 E. Market St., Iowa City, Iowa"
High Ground Cafe,"301 E. Market St., Iowa City, Iowa"
High Ground Cafe,"301 E. Market St., Iowa City, Iowa"
Vine Tavern & Eatery The,"330 E Prentiss, Iowa City, Iowa"
Vine Tavern & Eatery The,"330 E Prentiss, Iowa City, Iowa"
Vine Tavern & Eatery The,"330 E Prentiss, Iowa City, Iowa"
Vine Tavern & Eatery The,"330 E Prentiss, Iowa City, Iowa"
nodo Downtown,"5 S. Dubuque St. Ground Level and Second Floor, Iowa City, Iowa"
Bread Garden Market and Bakery,"201 S Linn St, Iowa City, Iowa"
Airliner Bar,"22 S Clinton St, Iowa City, Iowa"
2 Dogs Pub,"1705 S 1st Ave Suite Q, Iowa City, Iowa"
2 Dogs Pub,"1705 S 1st Ave Suite Q, Iowa City, Iowa"
2 Dogs Pub,"1705 S 1st Ave Suite Q, Iowa City, Iowa"
Dave's Foxhead Tavern,"402 East Market Street, Iowa City, Iowa"
Dave's Foxhead Tavern,"402 East Market Street, Iowa City, Iowa"
Dave's Foxhead Tavern,"402 East Market Street, Iowa City, Iowa"
J&S Express,"2221 Rochester Ave, Iowa City, Iowa"
"Fraternal Order Of Eagles, Iowa City Aerie #695","225 Hwy 1 W, Iowa City, Iowa"
J&S Express,"2221 Rochester Ave, Iowa City, Iowa"
J&S Express,"2221 Rochester Ave, Iowa City, Iowa"
J&S Express,"2221 Rochester Ave, Iowa City, Iowa"
Your Private Bar,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
Los Arcos Mexican Restaurant,"531 West Hwy 1, Iowa City, Iowa"
Los Arcos Mexican Restaurant,"531 West Hwy 1, Iowa City, Iowa"
Pagliai's Pizza,"302 East Bloomington, Iowa City, Iowa"
Pagliai's Pizza,"302 East Bloomington, Iowa City, Iowa"
Pagliai's Pizza,"302 East Bloomington, Iowa City, Iowa"
"Fareway Stores, Inc. #034","2765 Commerce Drive, Iowa City, Iowa"
"Fareway Stores, Inc. #034","2765 Commerce Drive, Iowa City, Iowa"
University of Iowa,"All Designated Bldgs, Iowa City, Iowa"
